Category,ID,App,Website / Hint
CRM and Sales,1,Salesforce,salesforce.com
CRM and Sales,2,HubSpot,hubspot.com
CRM and Sales,3,Pipedrive,pipedrive.com
CRM and Sales,4,Attio,attio.com
CRM and Sales,5,Twenty,twenty.com (open-source CRM)
CRM and Sales,6,Podio,podio.com
CRM and Sales,7,Zoho CRM,zoho.com/crm
CRM and Sales,8,Close,close.com
CRM and Sales,9,Copper,copper.com
CRM and Sales,10,DealCloud,api.docs.dealcloud.com
Support and Helpdesk,11,Zendesk,zendesk.com
Support and Helpdesk,12,Intercom,intercom.com
Support and Helpdesk,13,Freshdesk,freshdesk.com
Support and Helpdesk,14,Front,front.com
Support and Helpdesk,15,Pylon,usepylon.com
Support and Helpdesk,16,LiveAgent,liveagent.com
Support and Helpdesk,17,Plain,plain.com
Support and Helpdesk,18,Help Scout,helpscout.com
Support and Helpdesk,19,Gorgias,gorgias.com
Support and Helpdesk,20,Gladly,gladly.com
Communications and Messaging,21,Slack,slack.com
Communications and Messaging,22,Twilio,twilio.com
Communications and Messaging,23,Zoho Cliq,zoho.com/cliq
Communications and Messaging,24,Lark (Larksuite),open.larksuite.com
Communications and Messaging,25,Pumble,pumble.com
Communications and Messaging,26,Discord,discord.com
Communications and Messaging,27,Telegram,core.telegram.org
Communications and Messaging,28,WhatsApp Business,developers.facebook.com/docs/whatsapp
Communications and Messaging,29,Aircall,aircall.io
Communications and Messaging,30,Vonage,developer.vonage.com
"Marketing, Ads, Email and Social",31,Google Ads,developers.google.com/google-ads
"Marketing, Ads, Email and Social",32,Meta Ads,developers.facebook.com/docs/marketing-apis
"Marketing, Ads, Email and Social",33,LinkedIn Ads,learn.microsoft.com/linkedin/marketing
"Marketing, Ads, Email and Social",34,GoHighLevel,highlevel.stoplight.io
"Marketing, Ads, Email and Social",35,Mailchimp,mailchimp.com/developer
"Marketing, Ads, Email and Social",36,Klaviyo,developers.klaviyo.com
"Marketing, Ads, Email and Social",37,systeme.io,systeme.io (funnel builder)
"Marketing, Ads, Email and Social",38,Pinterest,developers.pinterest.com
"Marketing, Ads, Email and Social",39,Threads (Meta),developers.facebook.com/docs/threads
"Marketing, Ads, Email and Social",40,SendGrid,sendgrid.com
Ecommerce,41,Shopify,shopify.dev
Ecommerce,42,WooCommerce,woocommerce.com/document/woocommerce-rest-api
Ecommerce,43,BigCommerce,developer.bigcommerce.com
Ecommerce,44,Salesforce Commerce Cloud,developer.salesforce.com/docs/commerce
Ecommerce,45,Magento (Adobe Commerce),developer.adobe.com/commerce
Ecommerce,46,Squarespace,developers.squarespace.com
